KR1a0001	0012
KR1a0002	0061
KR1a0003	0006
KR1a0004	0005
KR1a0006	0031
KR1a0007	0092
KR1a0008	0065
KR1a0009	0019
KR1a0010	0002
KR1a0011	0012
KR1a0012	0185
KR1a0013	0042
KR1a0014	0035
KR1a0015	0041
KR1a0016	0089
KR1a0017	0001
KR1a0018	0020
KR1a0019	0042
KR1a0020	0058
KR1a0021	0093
KR1a0022	0084
KR1a0023	0048
KR1a0024	0110
KR1a0025	0034
KR1a0026	0017
KR1a0027	0099
KR1a0028	0707
KR1a0029	0008
KR1a0031	0023
KR1a0032	0019
KR1a0033	0199
KR1a0034	0141
KR1a0035	0015
KR1a0036	0014
KR1a0037	0148
KR1a0038	0056
KR1a0039	0004
KR1a0040	0075
KR1a0041	0484
KR1a0043	0003
KR1a0044	0014
KR1a0046	0185
KR1a0047	0217
KR1a0048	0061
KR1a0049	0073
KR1a0050	0008
KR1a0051	0020
KR1a0052	0008
KR1a0053	0001
KR1a0054	0042
KR1a0055	0018
KR1a0056	0155
KR1a0057	0006
KR1a0058	0065
KR1a0059	0088
KR1a0060	0106
KR1a0061	0155
KR1a0062	0004
KR1a0063	0007
KR1a0064	0121
KR1a0065	0014
KR1a0066	0049
KR1a0067	0002
KR1a0069	0063
KR1a0070	0033
KR1a0071	0053
KR1a0072	0007
KR1a0073	0087
KR1a0074	0128
KR1a0075	0235
KR1a0076	0002
KR1a0077	0053
KR1a0078	0052
KR1a0079	0087
KR1a0080	0003
KR1a0081	0186
KR1a0082	0015
KR1a0084	0048
KR1a0085	0014
KR1a0086	0258
KR1a0087	0003
KR1a0088	0079
KR1a0089	0048
KR1a0090	0033
KR1a0091	0242
KR1a0092	0218
KR1a0093	0027
KR1a0094	0001
KR1a0095	0135
KR1a0096	0088
KR1a0097	0068
KR1a0098	0026
KR1a0099	0008
KR1a0100	0063
KR1a0101	0029
KR1a0102	0268
KR1a0103	0104
KR1a0104	0057
KR1a0106	0018
KR1a0107	0037
KR1a0108	0057
KR1a0109	0017
KR1a0110	0073
KR1a0113	0155
KR1a0114	0064
KR1a0115	0027
KR1a0116	0104
KR1a0117	0210
KR1a0118	0051
KR1a0119	0047
KR1a0120	0006
KR1a0121	0183
KR1a0122	0062
KR1a0123	0009
KR1a0125	0012
